qubit,0
update_date,2021-04-29 01:25:23-04:00
T1,39.644265211520946
T2,19.81199503571713
freq,5.282347095078016
readout_err,-0.3308060940708262
pm0p1,0.08329999999999993
pm1p0,0.102
id_error,0.0010415258156815546
id_len,35.55555555555556
u1_error,0.0011270811428461557
u1_len,35.55555555555556
u2_error,0.000720452735208261
u2_len,35.55555555555556
u3_error,0.0004013123779254008
u3_len,35.55555555555556
itr,64
shots,8192
End
qubit,1
update_date,2021-04-29 01:25:23-04:00
T1,57.77569755714086
T2,16.50691117573399
freq,5.247546573342231
readout_err,-0.33042797513674593
pm0p1,0.05069999999999997
pm1p0,0.0654
id_error,0.0007235961484390158
id_len,35.55555555555556
u1_error,0
u1_len,0
u2_error,0
u2_len,0
u3_error,0
u3_len,0
itr,64
shots,8192
End
qubit,2
update_date,2021-04-29 01:25:23-04:00
T1,59.20715901066045
T2,52.25966303412591
freq,5.033393127126317
readout_err,-0.376123623426338
pm0p1,0.12119999999999997
pm1p0,0.13839999999999997
id_error,0
id_len,0
u1_error,0
u1_len,0
u2_error,0.0010415258156815546
u2_len,35.55555555555556
u3_error,0.0011270811428461557
u3_len,35.55555555555556
itr,64
shots,8192
End
qubit,3
update_date,2021-04-29 01:25:23-04:00
T1,49.17988245806169
T2,26.09573060271259
freq,5.291917499588657
readout_err,-0.32973617681647954
pm0p1,0.02939999999999998
pm1p0,0.0484
id_error,0.000720452735208261
id_len,35.55555555555556
u1_error,0.0004013123779254008
u1_len,35.55555555555556
u2_error,0.0007235961484390158
u2_len,35.55555555555556
u3_error,0.0010415258156815546
u3_len,35.55555555555556
itr,64
shots,8192
End
qubit,4
update_date,2021-04-29 01:25:23-04:00
T1,69.28916997103352
T2,49.69059916131859
freq,5.07843016120824
readout_err,-0.33309985113768
pm0p1,0.06030000000000002
pm1p0,0.0884
id_error,0.0011270811428461557
id_len,35.55555555555556
u1_error,0.000720452735208261
u1_len,35.55555555555556
u2_error,0.0004013123779254008
u2_len,35.55555555555556
u3_error,0.0007235961484390158
u3_len,35.55555555555556
itr,64
shots,8192
End
